Date,Recovered,Cumulative Recovered,Imported Case,Local Case,Active Case,New Case,Cumulative Case,ICU,Ventilator,Death,Cumulative Death,URL
24-04-20,121,3663,,,,88,5691,41,18,1,96,https://kpkesihatan.com/2020/04/24/kenyataan-akhbar-kpk-24-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
25-04-20,99,3762,,,,51,5742,36,16,2,98,https://kpkesihatan.com/2020/04/25/kenyataan-akhbar-kpk-25-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
26-04-20,100,3862,,,,38,5780,36,15,0,98,https://kpkesihatan.com/2020/04/26/kenyataan-akhbar-kpk-26-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
27-04-20,95,3957,,,,40,5820,37,17,1,99,https://kpkesihatan.com/2020/04/27/kenyataan-akhbar-kpk-27-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
28-04-20,75,4032,,,,31,5851,36,17,1,100,https://kpkesihatan.com/2020/04/28/kenyataan-akhbar-kpk-28-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
29-04-20,55,4087,,,,94,5945,40,18,0,100,https://kpkesihatan.com/2020/04/29/kenyataan-akhbar-kpk-29-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
30-04-20,84,4171,,,,57,6002,36,14,2,102,https://kpkesihatan.com/2020/04/30/kenyataan-akhbar-kpk-30-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
01-05-20,39,4210,,,,69,6071,37,14,1,103,https://kpkesihatan.com/2020/05/01/kenyataan-akhbar-kpk-1-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
02-05-20,116,4326,,,,105,6176,31,12,0,103,https://kpkesihatan.com/2020/05/02/kenyataan-akhbar-kpk-2-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
03-05-20,87,4413,,,,122,6298,27,13,2,105,https://kpkesihatan.com/2020/05/03/kenyataan-akhbar-kpk-3-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
04-05-20,71,4484,,,,55,6353,28,13,0,105,https://kpkesihatan.com/2020/05/04/kenyataan-akhbar-kpk-4-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
05-05-20,83,4567,,,,30,6383,24,8,1,106,https://kpkesihatan.com/2020/05/05/kenyataan-akhbar-kpk-5-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
06-05-20,135,4702,,,,45,6428,22,9,1,107,https://kpkesihatan.com/2020/05/06/kenyataan-akhbar-kpk-6-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
07-05-20,74,4776,,,,39,6467,19,8,0,107,https://kpkesihatan.com/2020/05/07/kenyataan-akhbar-kpk-7-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
08-05-20,88,4864,,,,68,6535,18,7,0,107,https://kpkesihatan.com/2020/05/08/kenyataan-akhbar-kpk-8-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
09-05-20,65,4929,,,,54,6589,18,6,1,108,https://kpkesihatan.com/2020/05/09/kenyataan-akhbar-kpk-9-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
10-05-20,96,5025,,,,67,6656,18,6,0,108,https://kpkesihatan.com/2020/05/10/kenyataan-akhbar-kpk-10-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
11-05-20,88,5113,,,,70,6726,20,7,1,109,https://kpkesihatan.com/2020/05/11/kenyataan-akhbar-kpk-11-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
12-05-20,110,5223,,,,16,6742,16,3,0,109,https://kpkesihatan.com/2020/05/12/kenyataan-akhbar-kpk-12-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
13-05-20,58,5281,,,,37,6779,16,4,2,111,https://kpkesihatan.com/2020/05/13/kenyataan-akhbar-kpk-13-may-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
14-05-20,70,5351,,,,40,6819,16,4,1,112,https://kpkesihatan.com/2020/05/14/kenyataan-akhbar-kpk-14-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
15-05-20,88,5439,,,,36,6855,14,5,0,112,https://kpkesihatan.com/2020/05/15/kenyataan-akhbar-kpk-15-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
16-05-20,73,5512,,,,17,6872,13,5,1,113,https://kpkesihatan.com/2020/05/16/kenyataan-akhbar-kpk-16-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
17-05-20,59,5571,,,,22,6894,13,7,0,113,https://kpkesihatan.com/2020/05/17/kenyataan-akhbar-kpk-17-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
18-05-20,44,5615,,,,47,6941,13,6,0,113,https://kpkesihatan.com/2020/05/18/kenyataan-akhbar-kpk-18-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
19-05-20,31,5646,,,,37,6978,11,6,1,114,https://kpkesihatan.com/2020/05/19/kenyataan-akhbar-kpk-19-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
20-05-20,60,5706,,,,31,7009,11,7,0,114,https://kpkesihatan.com/2020/05/20/kenyataan-akhbar-kpk-20-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
21-05-20,90,5796,,,,50,7059,10,7,0,114,https://kpkesihatan.com/2020/05/21/kenyataan-akhbar-kpk-21-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
22-05-20,63,5859,,,,78,7137,9,5,1,115,https://kpkesihatan.com/2020/05/22/kenyataan-akhbar-kpk-22-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
23-05-20,53,5912,,,,48,7185,9,5,0,115,https://kpkesihatan.com/2020/05/23/kenyataan-akhbar-kpk-23-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
24-05-20,33,5945,,,,60,7245,9,4,0,115,https://kpkesihatan.com/2020/05/24/kenyataan-akhbar-kpk-24-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
25-05-20,34,5979,,,,172,7417,8,4,0,115,https://kpkesihatan.com/2020/05/25/kenyataan-akhbar-kpk-25-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
26-05-20,62,6041,,,,187,7604,8,5,0,115,https://kpkesihatan.com/2020/05/26/kenyataan-akhbar-kpk-26-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
27-05-20,42,6083,,,,15,7619,8,4,0,115,https://kpkesihatan.com/2020/05/27/kenyataan-akhbar-kpk-27-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
28-05-20,86,6169,,,,10,7629,8,4,0,115,https://kpkesihatan.com/2020/05/28/situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
29-05-20,66,6235,,,,103,7732,8,2,0,115,https://kpkesihatan.com/2020/05/29/kenyataan-akhbar-kpk-29-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
30-05-20,95,6330,,,,30,7762,9,2,0,115,https://kpkesihatan.com/2020/05/30/kenyataan-akhbar-kpk-30-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
31-05-20,23,6353,,,,57,7819,9,2,0,115,https://kpkesihatan.com/2020/05/31/kenyataan-akhbar-kpk-31-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
01-06-20,51,6404,,,,38,7857,8,2,0,115,https://kpkesihatan.com/2020/06/01/kenyataan-akhbar-kpk-1-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
02-06-20,66,6470,,,,20,7877,6,2,0,115,https://kpkesihatan.com/2020/06/02/kenyataan-akhbar-kpk-2-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
03-06-20,61,6531,,,,93,7970,6,2,0,115,https://kpkesihatan.com/2020/06/03/kenyataan-akhbar-kpk-3-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
04-06-20,28,6559,,,,277,8247,6,2,0,115,https://kpkesihatan.com/2020/06/04/kenyataan-akhbar-kpk-4-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
05-06-20,51,6610,,,,19,8266,6,1,1,116,https://kpkesihatan.com/2020/06/05/kenyataan-akhbar-kpk-5-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
06-06-20,25,6635,,,,37,8303,5,5,1,117,https://kpkesihatan.com/2020/06/06/kenyataan-akhbar-kpk-6-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
