Date,JOHOR,JUMLAH KESELURUHAN,KEDAH,KELANTAN,MELAKA,NEGERI SEMBILAN,PAHANG,PERAK,PERLIS,PULAU PINANG,SABAH,SARAWAK,SELANGOR,TERENGGANU,WP KUALA LUMPUR,WP LABUAN,WP PUTRAJAYA
2020-03-27,20,130,1,4,0,6,4,8,0,6,10,15,36,2,16,0,2
2020-03-28,26,159,1,10,9,15,14,6,0,6,15,8,33,4,7,5,0
2020-03-29,24,150,1,15,1,9,12,11,0,1,0,11,33,2,28,0,2
2020-03-30,24,156,2,4,7,10,3,8,1,1,4,6,60,0,24,0,2
2020-03-31,16,140,0,4,2,9,3,5,1,6,5,21,32,0,34,0,2
2020-04-01,19,142,2,3,11,8,9,5,0,2,3,32,22,1,25,0,0
2020-04-02,27,208,1,3,7,18,3,6,0,2,1,23,74,2,34,0,7
2020-04-03,21,217,1,0,3,4,13,5,0,0,5,28,63,18,55,0,1
2020-04-04,6,150,0,2,2,9,24,2,0,1,10,7,27,6,52,1,1
2020-04-05,16,179,1,2,14,11,7,6,1,2,13,15,53,10,27,0,1
2020-04-06,30,131,3,1,10,8,3,6,0,0,2,12,27,6,18,1,4
2020-04-07,10,170,5,5,4,22,5,14,4,1,1,15,50,0,31,1,2
2020-04-08,18,156,1,0,13,9,3,4,0,6,7,18,58,3,14,0,2
2020-04-09,7,109,2,1,3,11,14,4,0,0,0,6,40,5,14,0,2
2020-04-10,20,118,0,1,14,11,4,1,0,1,2,15,30,3,14,0,2
2020-04-11,21,184,0,2,8,17,27,1,0,5,10,7,35,1,46,2,2
2020-04-12,14,153,0,1,3,9,11,1,0,2,6,8,53,0,44,0,1
2020-04-13,21,134,0,2,0,42,0,3,0,0,14,6,13,4,27,0,2
2020-04-14,8,170,0,0,3,2,11,3,1,3,5,15,50,0,69,0,0
2020-04-15,14,85,1,0,0,1,17,0,0,0,0,8,17,0,27,0,0
2020-04-16,13,110,0,1,0,26,8,1,0,0,3,16,13,2,26,0,1
2020-04-17,9,69,0,0,1,13,1,1,0,0,5,10,9,0,19,1,0
2020-04-18,16,54,0,0,0,3,2,0,0,0,10,6,2,1,14,0,0
2020-04-19,3,84,0,0,37,0,5,0,0,0,3,5,3,0,19,0,9
2020-04-20,2,36,0,0,2,3,2,0,0,0,2,6,2,0,4,0,13
2020-04-21,1,57,0,0,1,1,8,0,0,0,0,22,11,0,13,0,0
2020-04-22,3,50,1,0,1,2,6,0,0,0,0,19,1,0,16,0,1
2020-04-23,3,71,0,0,0,20,1,0,0,0,1,4,12,1,29,0,0
